num_of_threads,time
1,0.245428
1,5.3204e+06
1,0.198003
1,0.010111
2,0.13797
2,5.3204e+06
2,0.0991854
2,0.00508061
3,0.102423
3,5.3204e+06
3,0.0662526
3,0.00338925
4,0.0825532
4,5.3204e+06
4,0.0496497
4,0.00254138
5,0.0701186
5,5.3204e+06
5,0.0397473
5,0.00203991
6,0.0622388
6,5.3204e+06
6,0.0332361
6,0.00169509
7,0.0559192
7,5.3204e+06
7,0.0284065
7,0.00145674
8,0.0518329
8,5.3204e+06
8,0.024888
8,0.00127739
9,0.0484064
9,5.3204e+06
9,0.0221817
9,0.0011339
10,0.0457234
10,5.3204e+06
10,0.0199057
10,0.0010222
11,0.043478
11,5.3204e+06
11,0.0181324
11,0.000923377
12,0.0419567
12,5.3204e+06
12,0.016755
12,0.000862489
1,0.244851
1,5.3204e+06
1,0.198125
1,0.0100869
2,0.137894
2,5.3204e+06
2,0.0990255
2,0.00511191
3,0.102604
3,5.3204e+06
3,0.0663971
3,0.00340046
4,0.0825664
4,5.3204e+06
4,0.0496141
4,0.00254479
5,0.070142
5,5.3204e+06
5,0.0397507
5,0.0020383
6,0.0622762
6,5.3204e+06
6,0.0333074
6,0.00170093
7,0.0559913
7,5.3204e+06
7,0.0284094
7,0.00145633
8,0.0518598
8,5.3204e+06
8,0.0249312
8,0.00127423
9,0.0483404
9,5.3204e+06
9,0.0221761
9,0.00113387
10,0.0457507
10,5.3204e+06
10,0.0199117
10,0.00101714
11,0.0435292
11,5.3204e+06
11,0.0181821
11,0.000924799
12,0.0420277
12,5.3204e+06
12,0.0168101
12,0.000856587
1,0.244811
1,5.3204e+06
1,0.198099
1,0.0101094
2,0.137898
2,5.3204e+06
2,0.0990787
2,0.00510262
3,0.102432
3,5.3204e+06
3,0.0662596
3,0.00339954
4,0.0825003
4,5.3204e+06
4,0.0496086
4,0.00255074
5,0.0700716
5,5.3204e+06
5,0.0397538
5,0.00203386
6,0.0621666
6,5.3204e+06
6,0.0332191
6,0.00169529
7,0.0560449
7,5.3204e+06
7,0.0284973
7,0.00146241
8,0.0519281
8,5.3204e+06
8,0.0249975
8,0.00128369
9,0.0486299
9,5.3204e+06
9,0.022286
9,0.00113489
