num_of_threads,time
1,0.0365163
2,0.0328593
3,0.0264386
4,0.02233
5,0.0200554
6,0.0185647
7,0.0174863
8,0.0168292
9,0.0161696
10,0.0159873
11,0.0154218
12,0.0150839
1,0.0364438
2,0.033351
3,0.0263953
4,0.0226222
5,0.0199436
6,0.0188114
7,0.0177567
8,0.0167446
9,0.0161963
10,0.0157102
11,0.0153201
12,0.0149395
1,0.0363129
2,0.0329126
3,0.0265195
4,0.0223305
5,0.0201498
6,0.0184671
7,0.0174558
8,0.0169085
9,0.0162024
10,0.0158592
11,0.0154224
12,0.0150925
1,0.0361198
2,0.0331154
3,0.0264053
4,0.022523
5,0.020049
6,0.0186197
7,0.0174732
8,0.0167716
9,0.0162522
10,0.0157435
11,0.0152853
12,0.0151229
1,0.0362159
2,0.0329037
3,0.0264717
4,0.0223797
5,0.0200532
6,0.018527
7,0.0175144
8,0.0168295
9,0.0161482
10,0.0157533
11,0.0154228
12,0.0149793
1,0.0362818
2,0.0329791
3,0.0262651
4,0.0224877
5,0.0200131
6,0.0185869
7,0.0175506
8,0.0168009
9,0.0162839
10,0.0157927
11,0.0152888
12,0.0150325
1,0.0362008
2,0.0327337
3,0.0264058
4,0.0223767
5,0.0200539
6,0.018486
7,0.0174723
8,0.0168696
9,0.0162254
10,0.0157738
11,0.0152744
12,0.0150757
1,0.0362013
2,0.0329511
3,0.0263431
4,0.0221616
5,0.0200402
6,0.0184326
7,0.01734
8,0.0167583
9,0.0161788
10,0.015784
11,0.0153593
12,0.0149619
1,0.0359953
2,0.0328855
3,0.0263249
4,0.0224232
5,0.0200051
6,0.0183913
7,0.0174356
8,0.016782
9,0.0161506
10,0.0157919
11,0.0152698
12,0.0149738
1,0.0362638
2,0.0332215
3,0.0263218
4,0.0223893
5,0.0199306
6,0.0185615
7,0.0174041
8,0.0166729
9,0.0161958
10,0.0157415
11,0.0153102
12,0.0150532
1,0.0360324
2,0.0329136
3,0.026346
4,0.0223061
5,0.0200712
6,0.0184544
7,0.0174449
8,0.016743
9,0.0161519
10,0.0156589
11,0.0152554
12,0.0150298
1,0.0359624
2,0.0327428
3,0.0263234
4,0.0222943
5,0.0200866
6,0.0185171
7,0.0174334
8,0.0167384
9,0.0162163
10,0.01568
11,0.0153206
12,0.015034
1,0.036145
2,0.0329175
3,0.0262995
4,0.0222689
5,0.0199138
6,0.0184143
7,0.0173803
8,0.016751
9,0.0160953
10,0.015662
11,0.0152989
12,0.0150207
1,0.0361841
2,0.0328237
3,0.0263156
4,0.0223976
5,0.0199401
6,0.0184295
7,0.0174663
8,0.0167642
9,0.0160962
10,0.0157662
11,0.0152955
12,0.0151444
1,0.0362152
2,0.0328691
3,0.0263196
4,0.0224536
5,0.0199893
6,0.0184947
7,0.017426
8,0.0168197
9,0.016155
10,0.0157234
11,0.0153359
12,0.0150574
1,0.0360979
2,0.0329496
3,0.0262758
4,0.0222963
5,0.0200122
6,0.0185732
7,0.0173943
8,0.0167531
9,0.0161656
10,0.0156844
11,0.0152315
12,0.0148996
1,0.0359908
2,0.0327474
3,0.0262408
4,0.0223926
5,0.0199318
6,0.0185311
7,0.01747
8,0.0167126
9,0.0162088
10,0.015689
11,0.0152991
12,0.0150292
1,0.0360924
2,0.0328264
3,0.0263113
4,0.0223514
5,0.0200127
6,0.018453
7,0.0175029
8,0.0167322
9,0.0161319
10,0.0157569
11,0.0152988
12,0.0150254
1,0.0360282
2,0.0327349
3,0.0260906
4,0.0222932
5,0.0199513
6,0.0184772
7,0.0174661
8,0.0167926
9,0.0161452
10,0.0157039
11,0.0153215
12,0.0150485
1,0.0359564
2,0.03287
3,0.0263016
4,0.0223503
5,0.0199398
6,0.0185241
7,0.0173366
8,0.0168078
9,0.0161161
10,0.0157264
11,0.0153229
12,0.0150286
