threads,arr_size,time
1,400,0.000696
2,400,0.000911
3,400,0.002829
4,400,0.008981
1,4000,0.000827
2,4000,0.000955
3,4000,0.002759
4,4000,0.008922
1,40000,0.001393
2,40000,0.001269
3,40000,0.001292
4,40000,0.007359
1,400000,0.007546
2,400000,0.004277
3,400000,0.003195
4,400000,0.012244
1,4000000,0.066673
2,4000000,0.034661
3,4000000,0.024996
4,4000000,0.034482
1,40000000,0.646496
2,40000000,0.325736
3,40000000,0.223241
4,40000000,0.252097
1,400000000,6.451430
2,400000000,3.228847
3,400000000,2.162580
4,400000000,2.120671
