threads,arr_size,time
1,400,0.000710
2,400,0.001030
3,400,0.002751
4,400,0.001097
1,4000,0.000773
2,4000,0.000919
3,4000,0.002074
4,4000,0.002983
1,40000,0.001570
2,40000,0.001545
3,40000,0.001598
4,40000,0.001875
1,400000,0.008216
2,400000,0.007734
3,400000,0.006945
4,400000,0.007538
1,4000000,0.074131
2,4000000,0.062535
3,4000000,0.058093
4,4000000,0.055983
1,40000000,0.715805
2,40000000,0.604286
3,40000000,0.548206
4,40000000,0.535480
1,400000000,7.179862
2,400000000,6.145491
3,400000000,4.838943
4,400000000,4.909316
