threads,arr_size,time
1,400,0.000714
2,400,0.000977
3,400,0.001093
4,400,0.002929
1,4000,0.000799
2,4000,0.000998
3,4000,0.001142
4,4000,0.001699
1,40000,0.001430
2,40000,0.001234
3,40000,0.001289
4,40000,0.001302
1,400000,0.007585
2,400000,0.004355
3,400000,0.003282
4,400000,0.002832
1,4000000,0.067393
2,4000000,0.034378
3,4000000,0.023478
4,4000000,0.018839
1,40000000,0.654481
2,40000000,0.327083
3,40000000,0.218952
4,40000000,0.165123
1,400000000,6.511336
2,400000000,3.253716
3,400000000,2.170676
4,400000000,1.628482
