threads,arr_size,time
1,400,0.026740
2,400,0.040585
3,400,0.072623
4,400,0.096056
1,4000400,0.151567
2,4000400,0.113537
3,4000400,0.161558
4,4000400,0.176550
1,8000400,0.264575
2,8000400,0.194382
3,8000400,0.143553
4,8000400,0.143632
1,12000400,0.219784
2,12000400,0.229622
3,12000400,0.234578
4,12000400,0.231573
1,16000400,0.463588
2,16000400,0.291615
3,16000400,0.244610
4,16000400,0.246634
1,20000400,0.544646
2,20000400,0.362598
3,20000400,0.340612
4,20000400,0.249711
1,24000400,0.569593
2,24000400,0.420619
3,24000400,0.190574
4,24000400,0.339572
1,28000400,0.703588
2,28000400,0.488573
3,28000400,0.350625
4,28000400,0.291585
1,32000400,0.701558
2,32000400,0.506579
3,32000400,0.478593
4,32000400,0.407565
1,36000400,0.607926
2,36000400,0.301214
3,36000400,0.211148
4,36000400,0.236321
1,40000400,0.687171
2,40000400,0.353885
3,40000400,0.220064
4,40000400,0.255163
1,44000400,0.718893
2,44000400,0.364078
3,44000400,0.242113
4,44000400,0.277875
1,48000400,0.782766
2,48000400,0.395557
3,48000400,0.373039
4,48000400,0.315324
1,52000400,0.853088
2,52000400,0.429625
3,52000400,0.409568
4,52000400,0.345976
1,56000400,0.922965
2,56000400,0.633878
3,56000400,0.499971
4,56000400,0.460590
1,60000400,0.986816
2,60000400,0.532660
3,60000400,0.553921
4,60000400,0.582539
1,64000400,1.108510
2,64000400,0.858226
3,64000400,0.573513
4,64000400,0.544565
1,68000400,1.178264
2,68000400,0.562484
3,68000400,0.462216
4,68000400,0.414407
1,72000400,1.174286
2,72000400,0.589939
3,72000400,0.393689
4,72000400,0.444663
1,76000400,1.237441
2,76000400,0.627858
3,76000400,0.562413
4,76000400,0.494931
1,80000400,1.317762
2,80000400,0.729301
3,80000400,0.699644
4,80000400,0.597893
1,84000400,1.377105
2,84000400,0.919631
3,84000400,0.728218
4,84000400,0.580897
1,88000400,1.525388
2,88000400,0.938562
3,88000400,0.995568
4,88000400,0.787452
1,92000400,1.769772
2,92000400,0.753369
3,92000400,0.609989
4,92000400,0.609258
1,96000400,1.562550
2,96000400,0.784897
3,96000400,0.525248
4,96000400,0.601983
1,100000400,1.637548
2,100000400,0.821925
3,100000400,0.698291
4,100000400,0.781818
1,104000400,1.699794
2,104000400,1.010626
3,104000400,0.832526
4,104000400,0.934475
1,108000400,1.796427
2,108000400,1.238475
3,108000400,1.116561
4,108000400,0.657928
1,112000400,1.816036
2,112000400,0.908008
3,112000400,0.609008
4,112000400,0.456179
1,116000400,1.879920
2,116000400,0.941341
3,116000400,0.631506
4,116000400,0.475352
1,120000400,1.945823
2,120000400,0.975162
3,120000400,0.654346
4,120000400,0.494838
1,124000400,2.007915
2,124000400,1.006120
3,124000400,0.676436
4,124000400,0.506257
1,128000400,2.073022
2,128000400,1.037951
3,128000400,0.696247
4,128000400,0.522461
1,132000400,2.137434
2,132000400,1.070537
3,132000400,0.717749
4,132000400,0.540303
1,136000400,2.201495
2,136000400,1.105540
3,136000400,0.740119
4,136000400,0.631350
1,140000400,2.265723
2,140000400,1.136193
3,140000400,0.766377
4,140000400,0.571245
