N,RAND,DIST,SORT,REDIST,TOTAL
1,1,1,1,1,1
2,2.05457,0.753656,1.99064,2.012195,1.037797
3,2.898914,0.935268,2.957812,3.084112,1.331444
4,3.463318,1.172242,3.933416,4.230769,1.670922
5,3.807072,1.328875,4.859101,4.583333,1.902052
6,5.055189,1.497359,5.810565,4.714286,2.180304
7,5.548825,1.628835,6.765642,5,2.385006
8,6.379418,1.811126,7.780488,4.520548,2.656185
9,6.372793,1.935918,8.692098,5.5,2.832108
10,7.576543,2.068248,9.550898,3.626374,3.041057
11,7.228504,2.184518,10.56291,3.626374,3.18392
12,8.150066,2.287172,11.43369,3.055556,3.347716
