time,threads
0.327189,1
0.186099,2
0.138381,3
0.141389,4
0.326885,1
0.185837,2
0.137739,3
0.153667,4
0.327417,1
0.185997,2
0.13939,3
0.13555,4
0.326849,1
0.185564,2
0.138294,3
0.117465,4
0.326559,1
0.186138,2
0.138694,3
0.114714,4
0.326923,1
0.186275,2
0.138213,3
0.115943,4
0.328017,1
0.185953,2
0.138287,3
0.13013,4
0.327323,1
0.186151,2
0.138415,3
0.112758,4
0.326988,1
0.186289,2
0.138225,3
0.125443,4
0.327102,1
0.185804,2
0.137765,3
0.112536,4
0.327108,1
0.186329,2
0.137552,3
0.113927,4
0.327614,1
0.185395,2
0.13835,3
0.115391,4
0.327091,1
0.186182,2
0.138424,3
0.121317,4
0.326815,1
0.186338,2
0.138233,3
0.113163,4
0.327184,1
0.186204,2
0.137807,3
0.112703,4
0.328539,1
0.186154,2
0.138084,3
0.11901,4
0.326857,1
0.186238,2
0.138189,3
0.114635,4
0.326743,1
0.185752,2
0.138798,3
0.126527,4
0.32725,1
0.186382,2
0.138196,3
0.126892,4
0.327024,1
0.185855,2
0.138379,3
0.113258,4
0.327518,1
0.186927,2
0.13942,3
0.119345,4
0.327211,1
0.185845,2
0.152965,3
0.117155,4
0.327185,1
0.186294,2
0.151667,3
0.114339,4
0.327602,1
0.185966,2
0.138256,3
0.11402,4
0.327536,1
0.186608,2
0.138448,3
0.112937,4
0.326575,1
0.185935,2
0.139159,3
0.122524,4
0.326315,1
0.185988,2
0.138189,3
0.119486,4
0.327506,1
0.186093,2
0.137932,3
0.112705,4
0.327533,1
0.186302,2
0.138072,3
0.113915,4
0.331155,1
0.187332,2
0.139425,3
0.118791,4
0.327406,1
0.185879,2
0.141866,3
0.122434,4
0.327395,1
0.18677,2
0.138445,3
0.124861,4
0.327451,1
0.186213,2
0.138124,3
0.114064,4
0.327781,1
0.185691,2
0.138256,3
0.127593,4
0.327372,1
0.191793,2
0.138356,3
0.135948,4
0.327119,1
0.186023,2
0.13799,3
0.13701,4
0.326749,1
0.188002,2
0.139043,3
0.113656,4
0.32662,1
0.1857,2
0.138617,3
0.113063,4
0.327687,1
0.185928,2
0.13783,3
0.112574,4
0.327374,1
0.186014,2
0.137566,3
0.132408,4
0.32741,1
0.185598,2
0.137874,3
0.112573,4
0.327232,1
0.185643,2
0.138308,3
0.124783,4
0.326961,1
0.186425,2
0.138049,3
0.12507,4
0.326929,1
0.185775,2
0.138391,3
0.113194,4
0.32845,1
0.186472,2
0.137874,3
0.113074,4
0.327581,1
0.186307,2
0.138765,3
0.112759,4
0.327364,1
0.186166,2
0.138028,3
0.125867,4
0.327949,1
0.186323,2
0.138349,3
0.118349,4
0.326904,1
0.186161,2
0.13819,3
0.113022,4
0.327151,1
0.186071,2
0.138232,3
0.113231,4
0.327221,1
0.186693,2
0.138261,3
0.1139,4
0.327303,1
0.185729,2
0.138056,3
0.121276,4
0.327259,1
0.186359,2
0.138274,3
0.113042,4
0.327663,1
0.185811,2
0.137893,3
0.112674,4
0.327839,1
0.185986,2
0.138478,3
0.113551,4
0.327492,1
0.185766,2
0.138148,3
0.112339,4
0.327421,1
0.185493,2
0.138619,3
0.112838,4
0.327223,1
0.185389,2
0.145508,3
0.142437,4
0.327543,1
0.187143,2
0.138278,3
0.113173,4
0.326937,1
0.185558,2
0.137886,3
0.118428,4
0.326892,1
0.18835,2
0.139867,3
0.202064,4
0.331677,1
0.187881,2
0.138367,3
0.14014,4
0.326599,1
0.185661,2
0.138425,3
0.113001,4
0.326954,1
0.185954,2
0.138276,3
0.113276,4
0.327635,1
0.188162,2
0.138083,3
0.119207,4
0.327671,1
0.18617,2
0.137751,3
0.112521,4
0.327737,1
0.185441,2
0.138132,3
0.112909,4
0.327277,1
0.18551,2
0.138578,3
0.112286,4
0.328853,1
0.185804,2
0.138156,3
0.112713,4
0.32733,1
0.18617,2
0.138078,3
0.11283,4
0.327262,1
0.185944,2
0.138275,3
0.112715,4
0.327163,1
0.185854,2
0.1377,3
0.113215,4
0.326793,1
0.18604,2
0.138466,3
0.113572,4
0.327647,1
0.186429,2
0.138165,3
0.116043,4
0.327789,1
0.186729,2
0.138398,3
0.113036,4
0.327143,1
0.185938,2
0.138846,3
0.113102,4
0.327193,1
0.185432,2
0.138402,3
0.121608,4
0.327498,1
0.186074,2
0.138882,3
0.113046,4
0.327397,1
0.186005,2
0.139305,3
0.112663,4
0.327348,1
0.185323,2
0.138516,3
0.119236,4
0.327414,1
0.186067,2
0.137825,3
0.123038,4
0.328146,1
0.186002,2
0.138416,3
0.112883,4
0.328105,1
0.186304,2
0.138005,3
0.112445,4
0.327532,1
0.185603,2
0.138422,3
0.112672,4
0.327425,1
0.186066,2
0.137825,3
0.113051,4
0.327514,1
0.185659,2
0.138179,3
0.11252,4
0.330846,1
0.186857,2
0.138118,3
0.113101,4
0.327179,1
0.18593,2
0.137905,3
0.113285,4
0.327492,1
0.18633,2
0.137971,3
0.113106,4
0.328539,1
0.187361,2
0.138104,3
0.118618,4
0.326942,1
0.186555,2
0.138757,3
0.12125,4
0.32646,1
0.186408,2
0.137953,3
0.114139,4
0.328123,1
0.186981,2
0.139361,3
0.113493,4
0.328246,1
0.186788,2
0.137961,3
0.113375,4
0.330701,1
0.185716,2
0.140357,3
0.112704,4
0.32799,1
0.185575,2
0.138438,3
0.113029,4
0.327349,1
0.186777,2
0.139366,3
0.122848,4
0.327291,1
0.186399,2
0.139097,3
0.113875,4
0.327166,1
0.185622,2
0.138102,3
0.113068,4
0.328145,1
0.186394,2
0.138933,3
0.113859,4
