time,threads
0.0720489,1
0.0574924,2
0.109285,3
0.12404,4
0.0737118,1
0.0608272,2
0.0899414,3
0.136453,4
0.0721511,1
0.0574438,2
0.0518895,3
0.0480696,4
0.0723752,1
0.058111,2
0.0515494,3
0.0481441,4
0.074172,1
0.0576618,2
0.0516108,3
0.0631898,4
0.0721683,1
0.0577223,2
0.0517737,3
0.047564,4
0.0720081,1
0.057711,2
0.0516707,3
0.062633,4
0.0723214,1
0.0576756,2
0.0516251,3
0.0479428,4
0.0724872,1
0.0578661,2
0.0513068,3
0.0533058,4
0.0722644,1
0.0577796,2
0.0524558,3
0.0482088,4
0.0725979,1
0.0572703,2
0.0516585,3
0.0476532,4
0.0724188,1
0.0575147,2
0.0520042,3
0.0473429,4
0.0719536,1
0.0576033,2
0.0519231,3
0.048666,4
0.0724577,1
0.0575297,2
0.0518114,3
0.0476272,4
0.0724559,1
0.0576422,2
0.0516798,3
0.0474618,4
0.0723069,1
0.0576861,2
0.0517919,3
0.0481007,4
0.072292,1
0.0573684,2
0.051731,3
0.0473979,4
0.0724057,1
0.0574975,2
0.0516059,3
0.0474247,4
0.0726399,1
0.0579911,2
0.0518569,3
0.0809111,4
0.0729032,1
0.0577878,2
0.0721072,3
0.123246,4
0.0733035,1
0.0583219,2
0.0899388,3
0.136973,4
0.0738934,1
0.0586222,2
0.0947108,3
0.130913,4
0.0723977,1
0.0575922,2
0.0518655,3
0.0476179,4
0.0722641,1
0.0570754,2
0.0517901,3
0.0479803,4
0.0723841,1
0.0576641,2
0.0518155,3
0.0481135,4
0.0722859,1
0.0577041,2
0.0518317,3
0.0480471,4
0.0730418,1
0.0581981,2
0.0519711,3
0.0478556,4
0.0721705,1
0.0575459,2
0.0516153,3
0.0484701,4
0.072167,1
0.0581012,2
0.0518841,3
0.0482157,4
0.0725102,1
0.0572701,2
0.0517786,3
0.0480354,4
0.0721684,1
0.0576037,2
0.0511251,3
0.0623458,4
0.0726803,1
0.0579509,2
0.0514937,3
0.0481872,4
0.0724641,1
0.0576041,2
0.0518213,3
0.047947,4
0.0730678,1
0.0575244,2
0.0518418,3
0.0476175,4
0.0722604,1
0.0584729,2
0.0519992,3
0.0964195,4
0.0738834,1
0.0611889,2
0.068889,3
0.0479846,4
0.0725421,1
0.0577324,2
0.0521032,3
0.0478545,4
0.0742113,1
0.0575711,2
0.0516554,3
0.0484677,4
0.072586,1
0.0585479,2
0.0518773,3
0.047796,4
0.0721235,1
0.0575243,2
0.0515859,3
0.0476616,4
0.0721287,1
0.0579887,2
0.0521083,3
0.0475531,4
0.0723337,1
0.0577566,2
0.0515226,3
0.0477383,4
0.0722077,1
0.0573438,2
0.05159,3
0.0600225,4
0.0721926,1
0.0577822,2
0.0520104,3
0.0476454,4
0.072558,1
0.0575017,2
0.0521869,3
0.0482564,4
0.0724593,1
0.0580317,2
0.0518048,3
0.048009,4
0.0724583,1
0.0576238,2
0.0518302,3
0.0478815,4
0.0733515,1
0.0576883,2
0.0518005,3
0.0479215,4
0.0724644,1
0.0577279,2
0.0514981,3
0.0473875,4
0.0724663,1
0.057909,2
0.051841,3
0.0523576,4
0.0723148,1
0.0575049,2
0.0516545,3
0.0484423,4
0.0724057,1
0.0577426,2
0.0516975,3
0.0473699,4
0.0722761,1
0.0577705,2
0.0518082,3
0.04798,4
0.0724314,1
0.0575981,2
0.0517762,3
0.0474117,4
0.0725729,1
0.0574778,2
0.0518497,3
0.0473865,4
0.0727681,1
0.0581632,2
0.0517579,3
0.0480065,4
0.0722872,1
0.0577148,2
0.051506,3
0.0476892,4
0.0720582,1
0.0578337,2
0.05147,3
0.0489231,4
0.0724133,1
0.057725,2
0.0518096,3
0.0474987,4
0.0722394,1
0.0575247,2
0.0515651,3
0.0476895,4
0.0727186,1
0.0582461,2
0.0518153,3
0.0476825,4
0.0725155,1
0.057891,2
0.052113,3
0.0472692,4
0.0722581,1
0.0576133,2
0.0519416,3
0.0759173,4
0.0725667,1
0.0581195,2
