time,threads
0.233729,1
0.116909,2
0.078546,3
0.0587504,4
0.233861,1
0.116975,2
0.0781972,3
0.0587051,4
0.23409,1
0.116879,2
0.0784515,3
0.0589749,4
0.233822,1
0.117054,2
0.0783489,3
0.0587627,4
0.234668,1
0.117504,2
0.0788728,3
0.0867923,4
0.235074,1
0.117174,2
0.0782433,3
0.0586491,4
0.23392,1
0.116913,2
0.0782169,3
0.0586568,4
0.233885,1
0.117117,2
0.078267,3
0.0590217,4
0.233772,1
0.117121,2
0.0781926,3
0.0585459,4
0.233933,1
0.117038,2
0.0781301,3
0.058721,4
0.233555,1
0.116843,2
0.0784911,3
0.0587734,4
0.233512,1
0.11694,2
0.0781621,3
0.0588896,4
0.233679,1
0.11679,2
0.0782343,3
0.058744,4
0.233673,1
0.11687,2
0.0783849,3
0.05947,4
0.233628,1
0.116887,2
0.0781834,3
0.0603491,4
0.233622,1
0.11685,2
0.0783119,3
0.0585268,4
0.23345,1
0.116784,2
0.0782556,3
0.0589425,4
0.233855,1
0.117195,2
0.0783608,3
0.0593716,4
0.233652,1
0.116912,2
0.0782418,3
0.0589956,4
0.233949,1
0.11705,2
0.0784952,3
0.0594096,4
0.23378,1
0.116825,2
0.0783231,3
0.0587283,4
0.233858,1
0.116988,2
0.0782082,3
0.0590652,4
0.233613,1
0.117203,2
0.078364,3
0.0586636,4
0.233774,1
0.116904,2
0.0782524,3
0.0585657,4
0.23377,1
0.116977,2
0.0783164,3
0.0585081,4
0.233507,1
0.11792,2
0.0782618,3
0.0586052,4
0.234052,1
0.116865,2
0.0787926,3
0.0587148,4
0.233866,1
0.117073,2
0.0879049,3
0.0586911,4
0.233849,1
0.11685,2
0.0782066,3
0.0585963,4
0.23373,1
0.117356,2
0.0780897,3
0.0587912,4
0.234589,1
0.117236,2
0.0782905,3
0.0587235,4
0.234022,1
0.117122,2
0.0783067,3
0.0584808,4
0.233484,1
0.116958,2
0.0780579,3
0.0590356,4
0.23381,1
0.117117,2
0.0782668,3
0.0607083,4
0.233267,1
0.117025,2
0.0780069,3
0.0584831,4
0.233216,1
0.116868,2
0.078215,3
0.0591948,4
0.233947,1
0.117596,2
0.0783504,3
0.058941,4
0.234417,1
0.116904,2
0.0782355,3
0.0588186,4
0.233565,1
0.11681,2
0.07852,3
0.0586598,4
0.233831,1
0.117118,2
0.0783157,3
0.0588983,4
0.233702,1
0.116879,2
0.0781769,3
0.0586815,4
0.233604,1
0.117041,2
0.0784556,3
0.0585592,4
0.233685,1
0.117262,2
0.0783085,3
0.0589613,4
0.233593,1
0.117404,2
0.0782784,3
0.0588308,4
0.233801,1
0.117138,2
0.0783841,3
0.0588895,4
0.233987,1
0.117118,2
0.0781589,3
0.0585811,4
0.233665,1
0.11692,2
0.0786006,3
0.058948,4
0.234474,1
0.116893,2
0.078394,3
0.0587608,4
0.233821,1
0.116908,2
0.0788549,3
0.0585953,4
0.233412,1
0.116807,2
0.0782986,3
0.0586803,4
0.233589,1
0.117033,2
0.0780991,3
0.059064,4
0.233766,1
0.117302,2
0.0782886,3
0.0596536,4
0.233646,1
0.116918,2
0.0783094,3
0.0586955,4
0.233722,1
0.117185,2
0.0781153,3
0.0598164,4
0.233993,1
0.117012,2
0.0784958,3
0.0679921,4
0.233738,1
0.117163,2
0.0782031,3
0.0587284,4
0.233876,1
0.116934,2
0.0782854,3
0.0588102,4
0.234154,1
0.1169,2
0.0781169,3
0.0621942,4
0.233706,1
0.116793,2
0.07806,3
0.058708,4
0.233578,1
0.116897,2
0.0783526,3
0.0589722,4
0.233639,1
0.116925,2
0.0782539,3
0.0587036,4
0.233549,1
0.116806,2
0.0781616,3
0.0588376,4
0.233636,1
0.117579,2
0.0783994,3
0.0587855,4
0.233667,1
0.117001,2
0.0781728,3
0.058712,4
0.233524,1
0.117277,2
0.078098,3
0.058585,4
0.233652,1
0.11694,2
0.0782407,3
0.0588475,4
0.233841,1
0.116933,2
0.0782725,3
0.0587371,4
0.233493,1
0.116913,2
0.0783221,3
0.0585775,4
0.235353,1
0.117189,2
0.0784184,3
0.0713011,4
0.234877,1
0.117141,2
0.0784175,3
0.0587671,4
0.233441,1
0.116902,2
0.0782686,3
0.0596937,4
0.233533,1
0.116967,2
0.078276,3
0.0593988,4
0.233833,1
0.116952,2
0.0781908,3
0.0596789,4
0.23351,1
0.116942,2
0.0783582,3
0.0586961,4
0.233721,1
0.116958,2
0.0783615,3
0.059539,4
0.233825,1
0.11693,2
0.0782608,3
0.0586586,4
0.233858,1
0.117085,2
0.0784768,3
0.0586368,4
0.23379,1
0.117007,2
0.0790596,3
0.0598006,4
0.233741,1
0.116882,2
0.0792309,3
0.0587345,4
0.233648,1
0.117238,2
0.0786112,3
0.0586706,4
0.233675,1
0.116992,2
0.0784272,3
0.0585914,4
0.233553,1
0.116959,2
0.0782404,3
0.0588853,4
0.233504,1
0.117105,2
0.0782204,3
0.0587465,4
0.233722,1
0.117197,2
0.0783067,3
0.0587309,4
0.233613,1
0.117036,2
0.0781119,3
0.0585425,4
0.233764,1
0.117045,2
0.0782668,3
0.0588653,4
0.233586,1
0.117006,2
0.0784126,3
0.0585871,4
0.233826,1
0.116849,2
0.0791729,3
0.0585545,4
0.23377,1
0.116906,2
0.0795128,3
0.0588591,4
0.233876,1
0.117029,2
0.0782678,3
0.058879,4
0.233571,1
0.116951,2
0.078064,3
0.0592721,4
0.235488,1
0.117131,2
0.0784219,3
0.0586125,4
0.233716,1
0.117002,2
0.0782698,3
0.0593384,4
0.233925,1
0.1171,2
0.0782683,3
0.0588946,4
0.233798,1
0.117225,2
0.078204,3
0.0586954,4
0.233842,1
0.116886,2
0.0785015,3
0.0589117,4
0.233643,1
0.116953,2
0.0784857,3
0.0590529,4
0.233707,1
0.116843,2
0.0783788,3
0.058463,4
0.233729,1
0.11688,2
0.0780604,3
0.0588248,4
0.233922,1
0.116824,2
0.078487,3
0.0589392,4
