N,RAND,DIST,SORT,REDIST,TOTAL
1,0.006137,0.019274,0.00638,0.00033,0.034294
2,0.002987,0.025574,0.003205,0.000164,0.033045
3,0.002117,0.020608,0.002157,0.000107,0.025757
4,0.001772,0.016442,0.001622,0.000078,0.020524
5,0.001612,0.014504,0.001313,0.000072,0.01803
6,0.001214,0.012872,0.001098,0.00007,0.015729
7,0.001106,0.011833,0.000943,0.000066,0.014379
8,0.000962,0.010642,0.00082,0.000073,0.012911
9,0.000963,0.009956,0.000734,0.00006,0.012109
10,0.00081,0.009319,0.000668,0.000091,0.011277
11,0.000849,0.008823,0.000604,0.000091,0.010771
12,0.000753,0.008427,0.000558,0.000108,0.010244
